,x coord,y coord,quality,x mm,y mm,x%,y%
0,762,58,0.9375,53.733118971061096,28.842282958199355,0.9058942758334502,0.7023568235285367
1,133,491,0.875,-36.167363344051445,-33.04469453376206,-0.6097507096695852,-0.8046924274628531
2,369,212,0.875,-2.4368167202572346,6.831672025723473,-0.041082638797222196,0.16636240169788077
3,336,505,0.84375,-7.153376205787782,-35.04565916398714,-0.12059978430056112,-0.8534191930838217
4,435,472,0.84375,6.996302250803859,-30.329099678456593,0.1179516522094556,-0.7385632455486812
5,504,442,0.8125,16.858199356913186,-26.041318327974277,0.2842147746255279,-0.6341487477894625
6,365,373,0.8125,-3.0085209003215434,-16.179421221864953,-0.050721080676414794,-0.3939954029432596
7,488,478,1.0,14.57138263665595,-31.186655948553057,0.2456610071087575,-0.759446145100525
8,280,70,1.0,-15.157234726688104,27.12717041800643,-0.2555379706092574,0.6605910244248492
9,425,125,1.0,5.567041800643087,19.266237942122185,0.09385554751147411,0.4691644451996149
10,475,376,1.0,12.713344051446946,-16.608199356913186,0.21433607100138155,-0.40443685271918145
11,498,345,0.96875,16.000643086816723,-12.177491961414791,0.269757111806739,-0.29654187170132207
12,72,95,0.90625,-44.88585209003215,23.5540192926045,-0.7567369483272722,0.5735789429588336
13,361,20,0.90625,-3.580225080385852,34.273472668810285,-0.06035952255560739,0.8346151873568802
14,225,113,0.90625,-23.018167202572346,20.98135048231511,-0.3880665464481556,0.5109302443033024
15,204,484,0.90625,-26.019614147909966,-32.04421221864952,-0.43866836631391665,-0.7803290446523687
16,216,128,0.71875,-24.30450160771704,18.837459807073955,-0.4097530406763389,0.4587229954236931
17,628,31,0.875,34.581028938906755,32.70128617363344,0.5830064728804983,0.7963298715118335
18,514,51,0.875,18.287459807073958,29.842765273311898,0.30831087932350937,0.726720206339021
19,697,85,0.875,44.44292604501608,24.983279742765273,0.7492695952965706,0.6083837755452398
20,103,338,0.875,-40.455144694533764,-11.17700964630225,-0.6820390237635298,-0.27217848889083773
21,75,466,0.875,-44.45707395498392,-29.47154340836013,-0.7495081169178778,-0.7176803459968375
22,468,407,0.6875,11.712861736334405,-21.038906752411577,0.1974687977127945,-0.5123318337370407
23,606,29,0.84375,31.436655948553057,32.98713826366559,0.529995042544939,0.8032908380291147
24,292,217,0.84375,-13.442122186495178,6.117041800643087,-0.22662264497167964,0.14895998540467764
25,239,449,0.65625,-21.017202572347266,-27.04180064308682,-0.35433199987098146,-0.658512130599947
26,351,364,0.65625,-5.009485530546624,-14.893086816720258,-0.08445562725358888,-0.36267105361549395
27,475,287,0.8125,12.713344051446946,-3.887781350482315,0.21433607100138155,-0.09467384270016596
28,679,462,0.8125,41.870257234726694,-28.89983922829582,0.7058966068402039,-0.703758412962275
29,658,420,0.8125,38.86881028938907,-22.89694533762058,0.6552947869744427,-0.5575781160993688
30,459,348,0.8125,10.42652733118971,-12.606270096463023,0.17578230348461116,-0.30698332147724394
31,144,280,0.8125,-34.595176848874594,-2.887299035369775,-0.5832449945018056,-0.07031045988968161
32,579,169,0.8125,27.577652733118974,12.977491961414792,0.46493555986038904,0.31602318181942757
33,414,504,0.78125,3.994855305466238,-34.902733118971064,0.06734983234369447,-0.8499387098251812
34,494,459,0.625,15.428938906752412,-28.47106109324759,0.26011866992754634,-0.6933169631863532
35,538,334,0.78125,21.717684887459807,-10.605305466237942,0.3661415305986649,-0.2582565558562752
36,519,480,0.78125,19.002090032154342,-31.47250803858521,0.32035893167250007,-0.7664071116178063
37,98,470,0.78125,-41.16977491961415,-30.04324758842444,-0.6940870761125204,-0.7316022790314
38,133,425,0.78125,-36.167363344051445,-23.611575562700967,-0.6097507096695852,-0.574980532392572
39,169,420,0.78125,-31.02202572347267,-22.89694533762058,-0.5230047327568519,-0.5575781160993688
40,427,408,0.78125,5.852893890675241,-21.181832797427653,0.09867476845107041,-0.5158123169956813
41,201,131,0.9250000000000005,-26.4483922829582,18.408681672025722,-0.44589719772331116,0.4482815456477712
42,251,115,0.9250000000000005,-19.30209003215434,20.695498392282957,-0.3254166742334037,0.5039692777860212
43,330,233,0.9000000000000005,-8.010932475884244,3.830225080385852,-0.13505744711935,0.09327225326642767
44,253,442,0.75,-19.016237942122185,-26.041318327974277,-0.3205974532938074,-0.6341487477894625
45,114,404,0.75,-38.882958199356914,-20.610128617363348,-0.6555333085957501,-0.501890383961119
46,334,322,0.75,-7.4392282958199365,-8.890192926045016,-0.12541900524015742,-0.21649075675258775
47,492,164,0.75,15.143086816720258,13.692122186495178,0.2552994489879501,0.3334255981126307
48,40,447,0.75,-49.45948553054662,-26.755948553054665,-0.8338444833608131,-0.6515511640826657
49,734,66,0.75,49.731189710610934,27.698874598070738,0.838425182679102,0.6745129574594116
50,510,376,0.59375,17.71575562700965,-16.608199356913186,0.29867243744431676,-0.40443685271918145
51,737,196,0.59375,50.15996784565917,9.118488745980708,0.8456540140884965,0.22205013383613073
52,362,388,0.59375,-3.437299035369775,-18.323311897106112,-0.05794991208580924,-0.44620265182286895
53,326,310,0.59375,-8.582636655948553,-7.17508038585209,-0.14469588899854258,-0.17472495764890028
54,471,275,0.59375,12.141639871382637,-2.172668810289389,0.20469762912218895,-0.05290804359647849
55,4,502,0.59375,-54.6048231511254,-34.616881028938906,-0.9205904602735464,-0.8429777433078999
56,435,383,0.8750000000000004,6.996302250803859,-17.608681672025725,0.1179516522094556,-0.4288002355296658
57,394,283,0.71875,1.1363344051446946,-3.3160771704180068,0.019157622947731514,-0.08075190966560349
58,558,92,0.71875,24.57620578778135,23.98279742765273,0.41433373999462786,0.5840203927347555
59,739,502,0.71875,50.44581993569132,-34.616881028938906,0.8504732350280927,-0.8429777433078999
60,292,313,0.71875,-13.442122186495178,-7.603858520900321,-0.22662264497167964,-0.18516640742482215
61,235,195,0.71875,-21.588906752411575,9.261414790996785,-0.36397044175017407,0.22553061709477135
62,652,164,0.8500000000000004,38.01125401929261,13.692122186495178,0.6408371241556539,0.3334255981126307
63,719,311,0.8500000000000004,47.587299035369774,-7.318006430868167,0.8022810256321298,-0.17820544090754092
64,83,481,0.8500000000000004,-43.3136655948553,-31.615434083601286,-0.7302312331594926,-0.7698875948764468
65,728,178,0.5625,48.873633440514475,11.691157556270097,0.8239675198603131,0.28469883249166195
66,447,439,0.5625,8.711414790996784,-25.612540192926048,0.14686697784703337,-0.6237072980135407
67,426,501,0.5625,5.709967845659164,-34.47395498392283,0.09626515798127226,-0.8394972600492593
68,530,442,0.8250000000000004,20.574276527331193,-26.041318327974277,0.34686464684027973,-0.6341487477894625
69,701,401,0.8250000000000004,45.01463022508039,-20.181350482315114,0.7589080371757632,-0.49144893418519703
70,749,21,0.8250000000000004,51.875080385852094,34.13054662379421,0.8745693397260743,0.8311347040982396
71,322,424,0.6875,-9.154340836012862,-23.468649517684888,-0.15433433087773518,-0.5715000491339313
72,131,385,0.6875,-36.4532154340836,-17.89453376205788,-0.6145699306091815,-0.435761202046947
73,494,384,0.6875,15.428938906752412,-17.751607717041804,0.26011866992754634,-0.43228071878830643
74,127,367,0.6875,-37.02491961414791,-15.32186495176849,-0.6242083724883741,-0.37311250339141583
75,298,331,0.6875,-12.584565916398715,-10.17652733118971,-0.21216498215289076,-0.24781510608035337
76,84,203,0.6875,-43.170739549839226,8.118006430868167,-0.7278216226896945,0.19768675102564637
77,431,153,0.6875,6.42459807073955,15.264308681672027,0.108313210330263,0.3717109139576775
78,397,467,0.8000000000000004,1.5651125401929262,-29.61446945337621,0.02638645435712596,-0.7211608292554782
79,555,347,0.8000000000000004,24.14742765273312,-12.463344051446946,0.40710490858523346,-0.30350283821860335
80,326,354,0.53125,-8.582636655948553,-13.463826366559486,-0.14469588899854258,-0.3278662210290877
81,671,344,0.53125,40.726848874598076,-12.034565916398714,0.6866197230818187,-0.2930613884426815
82,540,488,0.53125,22.00353697749196,-32.61591639871383,0.3709607515382612,-0.7942509776869312
83,220,484,0.53125,-23.73279742765273,-32.04421221864952,-0.4001145987971463,-0.7803290446523687
84,554,483,0.53125,24.004501607717042,-31.901286173633444,0.40469529811543525,-0.7768485613937282
85,530,502,0.53125,20.574276527331193,-34.616881028938906,0.34686464684027973,-0.8429777433078999
86,90,151,0.53125,-42.313183279742766,15.550160771704181,-0.7133639598709056,0.37867188047495876
87,347,126,0.65625,-5.581189710610933,19.12331189710611,-0.09409406913278147,0.46568396194097433
88,479,179,0.65625,13.285048231511254,11.54823151125402,0.22397451288057413,0.2812183492330213
89,217,304,0.65625,-24.161575562700964,-6.317524115755627,-0.40734343020654074,-0.15384205809705656
90,42,376,0.65625,-49.17363344051447,-16.608199356913186,-0.8290252624212168,-0.40443685271918145
91,675,272,0.9166666666666672,41.298553054662385,-1.7438906752411576,0.6962581649610113,-0.04246659382055662
92,241,253,0.7750000000000004,-20.73135048231511,0.9717041800643087,-0.34951277893138516,0.023662588093615215
93,634,217,0.8750000000000004,35.438585209003215,6.117041800643087,0.5974641356992871,0.14895998540467764
94,206,173,0.7500000000000003,-25.73376205787781,12.405787781350483,-0.43384914537432034,0.30210124878486505
95,346,412,0.7500000000000003,-5.72411575562701,-21.75353697749196,-0.09650367960257962,-0.5297342500302439
96,180,466,0.7500000000000003,-29.44983922829582,-29.47154340836013,-0.4964990175890722,-0.7176803459968375
97,700,498,0.7500000000000003,44.87170418006431,-34.0451768488746,0.756498426705965,-0.8290558102733374
98,518,320,0.625,18.859163987138267,-8.604340836012861,0.317949321202702,-0.20952979023530652
99,4,352,0.625,-54.6048231511254,-13.177974276527332,-0.9205904602735464,-0.32090525451180646
102,298,508,0.625,-12.584565916398715,-35.47443729903537,-0.21216498215289076,-0.8638606428597437
106,218,455,0.625,-24.018649517684885,-27.899356913183283,-0.4049338197367426,-0.6793950301517907
109,742,290,0.7250000000000003,50.87459807073955,-4.316559485530546,0.8577020664374873,-0.10511529247608782
110,425,315,0.7250000000000003,5.567041800643087,-7.889710610932475,0.09385554751147411,-0.19212737394210339
111,684,218,0.8333333333333337,42.58488745980708,5.97411575562701,0.7179446591891946,0.14547950214603703
112,710,96,0.59375,46.30096463022508,23.411093247588422,0.7805945314039464,0.5700984597001929
